city_name,neighbourhood_name,neighbourhood_group_name
Venezia,Isola La Cura,Isole
Venezia,Isola La Grazia,Isole
Venezia,Isola La Salina,Isole
Venezia,Isola Lazzaretto vecchio,Isole
Venezia,Isola Madonna del Monte,Isole
Venezia,Isola Ottagono Alberoni,Isole
Venezia,Isola Ottagono di Ca' Roman,Isole
Venezia,Isola Ottagono San Pietro,Isole
Venezia,Isola Peschieretta della Granzona,Isole
Venezia,Isola Poveglia,Isole
Venezia,Isola Sacca Sessola,Isole
Venezia,Isola San Clemente,Isole
Venezia,Isola San Francesco del Deserto,Isole
Venezia,Isola San Giacomo in Paludo,Isole
Venezia,Isola San Giorgio,Isole
Venezia,Isola San Giorgio in Alga,Isole
Venezia,Isola San Lazzaro degli Armeni,Isole
Venezia,Isola San Michele,Isole
Venezia,Isola San Secondo,Isole
Venezia,Isola San Servolo,Isole
Venezia,Isola Santa Cristina,Isole
Venezia,Isola Santo Spirito,Isole
Venezia,Lazzaretto Nuovo,Isole
Venezia,Lido,Isole
Venezia,Malamocco,Isole
Venezia,Mazzorbetto,Isole
Venezia,Mazzorbo,Isole
Venezia,Murano,Isole
Venezia,Pellestrina,Isole
Venezia,Sacca Fisola,Isole
Venezia,Sacca San Biagio,Isole
Venezia,San Marco,Isole
Venezia,San Pietro in Volta,Isole
Venezia,San Polo,Isole
Venezia,Santa Croce,Isole
Venezia,Santa Maria del Mare,Isole
Venezia,Sant'Elena,Isole
Venezia,Sant'Erasmo,Isole
Venezia,Torcello,Isole
Venezia,Tronchetto,Isole
Venezia,Vignole,Isole
Venezia,Aeroporto,Terraferma
Venezia,Altobello,Terraferma
Venezia,Asseggiano,Terraferma
Venezia,Bissuola,Terraferma
Venezia,Borgoforte,Terraferma
Venezia,Borgo Pezzana,Terraferma
Venezia,Ca' Brentelle,Terraferma
Venezia,Ca' Emiliani,Terraferma
Venezia,Campalto,Terraferma
Venezia,Campalto Bagaron,Terraferma
Venezia,Campalto CEP,Terraferma
Venezia,Campalto Cimitero,Terraferma
Venezia,Campalto Gobbi,Terraferma
Venezia,Capitello,Terraferma
Venezia,Carpenedo,Terraferma
Venezia,Ca' Sabbioni,Terraferma
Venezia,Case Dosa,Terraferma
Venezia,Ca' Solaro,Terraferma
Venezia,Centro Commerciale Auchan,Terraferma
Venezia,Centro Commerciale Panorama,Terraferma
Venezia,Chirignago,Terraferma
Venezia,Cipressina,Terraferma
Venezia,Dese,Terraferma
Venezia,Favaro,Terraferma
Venezia,Favaro Cimitero,Terraferma
Venezia,Favaro Col San Martino,Terraferma
Venezia,Ferrarese,Terraferma
