city_name,neighbourhood_name,period_label,dominant_room_type,room_type_entropy,reviews_last_twelve_months_median,reviews_last_twelve_months_median_abs_deviation,host_listing_count_median,host_listing_count_median_abs_deviation,accommodates_count_median,accommodates_count_median_abs_deviation,nightly_price_median,nightly_price_median_abs_deviation,total_reviews_median,total_reviews_median_abs_deviation,rating_score_median,rating_score_median_abs_deviation,accuracy_score_median,accuracy_score_median_abs_deviation,cleanliness_score_median,cleanliness_score_median_abs_deviation,checkin_score_median,checkin_score_median_abs_deviation,communication_score_median,communication_score_median_abs_deviation,location_score_median,location_score_median_abs_deviation,value_score_median,value_score_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
Milano,BAGGIO,Early Spring,Entire home/apt,0.7642,7.0,6.0,1.0,0.0,3.0,1.0,75.0,9.0,15.0,12.0,4.83,0.14,4.95,0.05,4.91,0.09,4.93,0.07,4.97,0.03,4.57,0.21,4.75,0.18,0.96,0.62,45.4621,0.0025,9.0903,0.0026
Milano,BAGGIO,Early Summer,Entire home/apt,0.8281,4.5,3.5,1.0,0.0,3.0,1.0,75.0,17.0,15.0,12.5,4.86,0.14,4.965,0.035,4.94,0.06,4.97,0.03,4.97,0.03,4.57,0.195,4.81,0.19,0.905,0.63,45.4621,0.0016,9.0908,0.0025
Milano,BAGGIO,Early Winter,Entire home/apt,0.7838,5.0,5.0,2.0,1.0,2.5,0.5,75.0,14.5,12.0,9.0,4.855,0.145,4.935,0.065,4.92,0.08,4.93,0.07,4.975,0.025,4.5,0.25,4.775,0.175,0.955,0.665,45.4623,0.002,9.0901,0.0025
Milano,BANDE NERE,Early Spring,Entire home/apt,0.7511,5.0,5.0,2.0,1.0,3.0,1.0,85.0,20.5,11.0,9.0,4.9,0.1,4.92,0.08,4.92,0.08,4.94,0.06,5.0,0.0,4.74,0.19,4.73,0.23,0.675,0.525,45.4614,0.0037,9.1389,0.005
Milano,BANDE NERE,Early Summer,Entire home/apt,0.7626,5.0,4.0,2.0,1.0,2.0,1.0,85.0,16.0,11.0,9.0,4.9,0.1,4.93,0.07,4.91,0.09,4.93,0.07,5.0,0.0,4.73,0.18,4.73,0.22,0.78,0.62,45.4614,0.0037,9.1389,0.0049
Milano,BANDE NERE,Early Winter,Entire home/apt,0.7778,4.0,4.0,2.0,1.0,3.0,1.0,85.0,20.0,10.0,8.0,4.9,0.1,4.93,0.07,4.92,0.08,4.95,0.05,5.0,0.0,4.71,0.21,4.75,0.25,0.6,0.52,45.4617,0.0038,9.1388,0.005
Milano,BARONA,Early Spring,Entire home/apt,1.1009,4.5,4.5,2.5,1.5,2.0,1.0,70.0,16.5,8.0,5.0,4.8,0.2,4.895,0.105,4.75,0.25,4.89,0.11,4.905,0.095,4.585,0.165,4.725,0.23,0.56,0.46,45.434,0.002,9.157,0.0044
Milano,BARONA,Early Summer,Entire home/apt,1.1094,2.0,2.0,2.0,1.0,2.0,0.0,70.0,17.0,8.0,7.0,4.81,0.19,4.91,0.09,4.8,0.2,4.92,0.08,4.91,0.09,4.5,0.25,4.72,0.25,0.45,0.36,45.4341,0.0018,9.1571,0.0047
Milano,BARONA,Early Winter,Entire home/apt,1.1768,2.0,2.0,2.0,1.0,2.0,0.0,70.0,15.0,7.0,5.0,4.8,0.2,4.87,0.13,4.75,0.25,4.89,0.11,4.91,0.09,4.5,0.25,4.73,0.25,0.37,0.33,45.4342,0.0013,9.1579,0.0047
Milano,BICOCCA,Early Spring,Entire home/apt,0.5255,6.0,6.0,2.0,1.0,4.0,1.0,75.0,14.0,19.0,16.0,4.86,0.14,4.89,0.11,4.89,0.11,4.92,0.08,4.93,0.07,4.73,0.14,4.71,0.14,1.33,1.05,45.5166,0.0017,9.2115,0.0023
Milano,BICOCCA,Early Summer,Entire home/apt,0.7393,5.0,4.0,2.0,1.0,4.0,1.0,87.0,14.0,9.0,8.0,4.865,0.135,4.895,0.105,4.895,0.105,4.915,0.085,4.945,0.055,4.745,0.175,4.72,0.2,1.1,0.765,45.5168,0.0023,9.2116,0.0024
