neighbourhood,period,number_of_reviews_ltm_median,number_of_reviews_ltm_median_abs_deviation,host_total_listings_count_median,host_total_listings_count_median_abs_deviation,room_type_mode,room_type_shannon_entropy,accommodates_median,accommodates_median_abs_deviation,price_median,price_median_abs_deviation,number_of_reviews_median,number_of_reviews_median_abs_deviation,review_scores_rating_median,review_scores_rating_median_abs_deviation,review_scores_accuracy_median,review_scores_accuracy_median_abs_deviation,review_scores_cleanliness_median,review_scores_cleanliness_median_abs_deviation,review_scores_checkin_median,review_scores_checkin_median_abs_deviation,review_scores_communication_median,review_scores_communication_median_abs_deviation,review_scores_location_median,review_scores_location_median_abs_deviation,review_scores_value_median,review_scores_value_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,place,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
BOVISA,Early Spring,3.0,3.0,3.0,2.0,Entire home/apt,0.7404,3.0,1.0,81.0,19.0,7.0,5.0,4.82,0.18,4.89,0.11,4.88,0.12,4.88,0.12,4.96,0.04,4.5,0.25,4.67,0.24,0.69,0.52,Milano,45.5021,0.0023,9.166,0.0027
BOVISA,Early Summer,3.0,3.0,3.0,2.0,Entire home/apt,0.8256,3.0,1.0,81.0,17.0,7.0,6.0,4.86,0.14,4.905,0.095,4.88,0.12,4.9,0.1,4.97,0.03,4.5,0.21,4.71,0.29,0.725,0.605,Milano,45.5024,0.0023,9.1657,0.0027
BOVISA,Early Winter,2.0,2.0,2.5,1.5,Entire home/apt,0.9739,3.0,1.0,81.0,19.0,7.0,6.0,4.85,0.15,4.91,0.09,4.875,0.125,4.93,0.07,4.96,0.04,4.5,0.275,4.67,0.265,0.61,0.52,Milano,45.502,0.0022,9.1657,0.0028
BOVISASCA,Early Spring,3.0,3.0,1.0,0.0,Entire home/apt,0.8905,2.0,1.0,68.0,18.0,9.0,8.0,4.93,0.07,4.94,0.06,4.89,0.11,4.95,0.05,4.95,0.05,4.46,0.45,4.84,0.16,0.67,0.49,Milano,45.5183,0.0023,9.1626,0.0026
BOVISASCA,Early Summer,3.0,3.0,1.0,0.0,Entire home/apt,0.7496,3.0,1.0,71.5,17.5,19.0,16.5,4.9,0.1,4.93,0.07,4.86,0.14,4.915,0.075,4.925,0.06,4.47,0.315,4.825,0.165,0.515,0.42,Milano,45.5176,0.0026,9.1619,0.0029
BOVISASCA,Early Winter,3.5,2.5,1.0,0.0,Entire home/apt,0.9403,2.0,0.5,61.0,11.5,5.5,4.5,4.795,0.205,4.855,0.145,4.695,0.255,4.88,0.12,4.9,0.1,4.12,0.32,4.65,0.3,0.46,0.41,Milano,45.5176,0.0023,9.16,0.0042
BRERA,Early Spring,7.0,7.0,6.0,5.0,Entire home/apt,0.3177,4.0,2.0,162.0,48.0,21.0,18.0,4.79,0.18,4.85,0.15,4.83,0.16,4.88,0.12,4.9,0.1,4.96,0.04,4.69,0.17,1.07,0.88,Milano,45.4758,0.0029,9.1859,0.0022
BRERA,Early Summer,6.0,6.0,6.0,5.0,Entire home/apt,0.3403,3.0,1.0,170.0,50.0,19.0,17.0,4.8,0.18,4.85,0.15,4.85,0.15,4.88,0.12,4.91,0.09,4.97,0.03,4.7,0.19,1.0,0.82,Milano,45.4757,0.003,9.1858,0.0021
BRERA,Early Winter,5.0,5.0,5.0,4.0,Entire home/apt,0.3294,3.0,1.0,164.0,44.0,18.0,16.0,4.79,0.19,4.85,0.15,4.84,0.16,4.88,0.12,4.9,0.1,4.97,0.03,4.68,0.18,0.97,0.835,Milano,45.4757,0.0029,9.1858,0.0023
BRUZZANO,Early Spring,7.0,6.0,3.0,2.0,Entire home/apt,0.9401,2.0,0.0,65.0,13.0,13.0,8.0,4.83,0.13,4.85,0.1,4.85,0.15,4.9,0.1,4.92,0.08,4.52,0.19,4.68,0.14,0.54,0.26,Milano,45.528,0.0018,9.1732,0.002
BRUZZANO,Early Summer,5.0,3.5,3.0,2.0,Entire home/apt,1.0323,2.0,0.5,63.75,12.0,13.5,10.0,4.86,0.14,4.85,0.11,4.83,0.17,4.88,0.12,4.915,0.085,4.59,0.24,4.685,0.125,0.49,0.245,Milano,45.5282,0.0016,9.1722,0.0024
BRUZZANO,Early Winter,4.0,4.0,2.5,1.5,Entire home/apt,1.2222,2.0,0.5,63.5,13.0,10.0,7.0,4.83,0.16,4.88,0.12,4.825,0.175,4.9,0.1,4.965,0.035,4.535,0.165,4.675,0.215,0.46,0.305,Milano,45.5276,0.0018,9.1725,0.0024
BUENOS AIRES - VENEZIA,Early Spring,8.0,7.0,4.0,3.0,Entire home/apt,0.631,3.0,1.0,112.0,32.0,15.0,13.0,4.84,0.16,4.88,0.12,4.86,0.14,4.91,0.09,4.93,0.07,4.86,0.14,4.71,0.21,1.0,0.8,Milano,45.4774,0.0034,9.2111,0.0039
