neighbourhood_group,neighbourhood,city
,SARPI,milano
,SCALO ROMANA,milano
,S. CRISTOFORO,milano
,SELINUNTE,milano
,S. SIRO,milano
,STADERA,milano
,STEPHENSON,milano
,TIBALDI,milano
,TICINESE,milano
,TORTONA,milano
,TRENNO,milano
,TRE TORRI,milano
,TRIULZO SUPERIORE,milano
,UMBRIA - MOLISE,milano
,VIALE MONZA,milano
,VIGENTINA,milano
,VILLAPIZZONE,milano
,WASHINGTON,milano
,XXII MARZO,milano
,Arenella,napoli
,Avvocata,napoli
,Bagnoli,napoli
,Barra,napoli
,Chiaia,napoli
,Chiaiano,napoli
,Fuorigrotta,napoli
,Mercato,napoli
,Miano,napoli
,Montecalvario,napoli
,Pendino,napoli
,Pianura,napoli
,Piscinola,napoli
,Poggioreale,napoli
,Ponticelli,napoli
,Porto,napoli
,Posillipo,napoli
,San Carlo all'Arena,napoli
,San Ferdinando,napoli
,San Giovanni a Teduccio,napoli
,San Giuseppe,napoli
,San Lorenzo,napoli
,San Pietro a Patierno,napoli
,Scampia,napoli
,Secondigliano,napoli
,Soccavo,napoli
,Stella,napoli
,Vicaria,napoli
,Vomero,napoli
,Zona Industriale,napoli
,I Centro Storico,roma
,III Monte Sacro,roma
,II Parioli/Nomentano,roma
,IV Tiburtina,roma
,IX Eur,roma
,VIII Appia Antica,roma
,VII San Giovanni/Cinecittà,roma
,VI Roma delle Torri,roma
,V Prenestino/Centocelle,roma
,XI Arvalia/Portuense,roma
,XIII Aurelia,roma
,XII Monte Verde,roma
,XIV Monte Mario,roma
,X Ostia/Acilia,roma
,XV Cassia/Flaminia,roma
Isole,Alberoni,venezia
Isole,Burano,venezia
Isole,Cannaregio,venezia
Isole,Castello,venezia
Isole,Dorsoduro,venezia
Isole,Giudecca,venezia
Isole,Isola Buel del Lovo,venezia
Isole,Isola Campalto,venezia
Isole,Isola Carbonera,venezia
Isole,Isola Cason Grassabo',venezia
Isole,Isola Cason vecchio di Grassabo',venezia
Isole,Isola delle Tresse,venezia
Isole,Isola di Tessera,venezia
Isole,Isola ex Batteria Fisolo,venezia
Isole,Isola ex Forte S.Angelo della Polve,venezia
Isole,Isola ex Ridotto di Crevan,venezia
Isole,Isola La Cura,venezia
Isole,Isola La Grazia,venezia
Isole,Isola La Salina,venezia
Isole,Isola Lazzaretto vecchio,venezia
Isole,Isola Madonna del Monte,venezia
Isole,Isola Ottagono Alberoni,venezia
Isole,Isola Ottagono di Ca' Roman,venezia
Isole,Isola Ottagono San Pietro,venezia
Isole,Isola Peschieretta della Granzona,venezia
Isole,Isola Poveglia,venezia
Isole,Isola Sacca Sessola,venezia
Isole,Isola San Clemente,venezia
Isole,Isola San Francesco del Deserto,venezia
Isole,Isola San Giacomo in Paludo,venezia
Isole,Isola San Giorgio,venezia
Isole,Isola San Giorgio in Alga,venezia
Isole,Isola San Lazzaro degli Armeni,venezia
Isole,Isola San Michele,venezia
Isole,Isola San Secondo,venezia
Isole,Isola San Servolo,venezia
Isole,Isola Santa Cristina,venezia
Isole,Isola Santo Spirito,venezia
Isole,Lazzaretto Nuovo,venezia
Isole,Lido,venezia
Isole,Malamocco,venezia
Isole,Mazzorbetto,venezia
Isole,Mazzorbo,venezia
Isole,Murano,venezia
Isole,Pellestrina,venezia
Isole,Sacca Fisola,venezia
Isole,Sacca San Biagio,venezia
Isole,San Marco,venezia
Isole,San Pietro in Volta,venezia
Isole,San Polo,venezia
